dataset,id,name,facilityType,zone,status,personnel,hazardLevel,source,precisionLevel,needsDesktopRefinement,note,mapX,mapY,s3mX,s3mY,longitude,latitude,geometryType,geometryJson
park_building_facility_polygon,pa-west-north,西北生产装置区,production,prod_a,运行中,36,0.75,frontend.realMapAssets.facilities,facility_zone,true,Current feature is a manually interpreted facility/building zone. Refine into single-building footprints in iDesktopX before final publication when necessary.,415,340,-974.126,157.365,118.78439789,32.03694574,Polygon,"{""type"":""Polygon"",""coordinates"":[[[248,252],[582,252],[582,428],[248,428],[248,252]]]}"
park_building_facility_polygon,pa-west-south,西南储罐与泵区,production,tank_farm,运行中,18,0.85,frontend.realMapAssets.facilities,facility_zone,true,Current feature is a manually interpreted facility/building zone. Refine into single-building footprints in iDesktopX before final publication when necessary.,415,551,-974.126,-290.038,118.78439789,32.03505031,Polygon,"{""type"":""Polygon"",""coordinates"":[[[248,430],[582,430],[582,672],[248,672],[248,430]]]}"
park_building_facility_polygon,pa-center-north,中北厂房装置区,production,prod_a,运行中,26,0.65,frontend.realMapAssets.facilities,facility_zone,true,Current feature is a manually interpreted facility/building zone. Refine into single-building footprints in iDesktopX before final publication when necessary.,672,340,-582.872,157.365,118.7871214,32.03694574,Polygon,"{""type"":""Polygon"",""coordinates"":[[[588,252],[756,252],[756,428],[588,428],[588,252]]]}"
park_building_facility_polygon,pa-center-south,中南反应装置区,production,prod_a,运行中,24,0.7,frontend.realMapAssets.facilities,facility_zone,true,Current feature is a manually interpreted facility/building zone. Refine into single-building footprints in iDesktopX before final publication when necessary.,672,551,-582.872,-290.038,118.7871214,32.03505031,Polygon,"{""type"":""Polygon"",""coordinates"":[[[588,430],[756,430],[756,672],[588,672],[588,430]]]}"
park_building_facility_polygon,tw-center,中东塔器与罐组区,tower,tower_area,运行中,12,0.8,frontend.realMapAssets.facilities,facility_zone,true,Current feature is a manually interpreted facility/building zone. Refine into single-building footprints in iDesktopX before final publication when necessary.,901,462,-234.246,-101.323,118.78954818,32.0358498,Polygon,"{""type"":""Polygon"",""coordinates"":[[[856,252],[946,252],[946,672],[856,672],[856,252]]]}"
park_building_facility_polygon,ut-center,公用工程与管廊区,utility,utility,运行中,8,0.45,frontend.realMapAssets.facilities,facility_zone,true,Current feature is a manually interpreted facility/building zone. Refine into single-building footprints in iDesktopX before final publication when necessary.,804,462,-381.917,-101.323,118.78852024,32.0358498,Polygon,"{""type"":""Polygon"",""coordinates"":[[[760,252],[848,252],[848,672],[760,672],[760,252]]]}"
park_building_facility_polygon,pb-north-tank,东北罐组与管汇区,tank,prod_b,运行中,14,0.75,frontend.realMapAssets.facilities,facility_zone,true,Current feature is a manually interpreted facility/building zone. Refine into single-building footprints in iDesktopX before final publication when necessary.,1086,337,47.396,163.727,118.79150869,32.03697269,Polygon,"{""type"":""Polygon"",""coordinates"":[[[956,252],[1216,252],[1216,422],[956,422],[956,252]]]}"
park_building_facility_polygon,pb-mid-process,东中生产与污水装置区,production,prod_b2,运行中,18,0.6,frontend.realMapAssets.facilities,facility_zone,true,Current feature is a manually interpreted facility/building zone. Refine into single-building footprints in iDesktopX before final publication when necessary.,1086,478,47.396,-135.249,118.79150869,32.03570607,Polygon,"{""type"":""Polygon"",""coordinates"":[[[956,420],[1216,420],[1216,536],[956,536],[956,420]]]}"
park_building_facility_polygon,wh-logistics,东南仓储物流区,warehouse,warehouse,正常,10,0.45,frontend.realMapAssets.facilities,facility_zone,true,Current feature is a manually interpreted facility/building zone. Refine into single-building footprints in iDesktopX before final publication when necessary.,1146,599,138.739,-391.817,118.79214453,32.03461912,Polygon,"{""type"":""Polygon"",""coordinates"":[[[1076,536],[1216,536],[1216,662],[1076,662],[1076,536]]]}"
park_building_facility_polygon,fs-east-yard,东侧应急与装卸边界区,utility,fire_safety,正常,4,0.35,frontend.realMapAssets.facilities,facility_zone,true,Current feature is a manually interpreted facility/building zone. Refine into single-building footprints in iDesktopX before final publication when necessary.,1030,599,-37.858,-391.817,118.79091524,32.03461912,Polygon,"{""type"":""Polygon"",""coordinates"":[[[984,536],[1076,536],[1076,662],[984,662],[984,536]]]}"
