dataset,building_id,name,zone_code,source_facility_id,source_facility_name,type,is_hazard,personnel,confidence,status,source,precisionLevel,needsDesktopRefinement,remark,mapX,mapY,s3mX,s3mY,longitude,latitude,geometryType,geometryJson
park_building_footprint,BLD_A_001,西部生产装置区蓝顶厂房,A,pa-west-north,西北生产装置区,production,1,24,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,334.84,290.72,-1096.16,261.858,118.78354841,32.03738843,Polygon,"{""type"":""Polygon"",""coordinates"":[[[268.04,269.6],[401.64,269.6],[401.64,311.84],[268.04,311.84],[268.04,269.6]]]}"
park_building_footprint,BLD_A_002,西部生产装置框架区,A,pa-west-north,西北生产装置区,production,1,8,low,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,481.8,292.48,-872.43,258.127,118.78510579,32.03737262,Polygon,"{""type"":""Polygon"",""coordinates"":[[[421.68,266.08],[541.92,266.08],[541.92,318.88],[421.68,318.88],[421.68,266.08]]]}"
park_building_footprint,BLD_A_003,西部北侧辅助厂房,A,pa-west-north,西北生产装置区,utility,0,4,low,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,338.18,375.2,-1091.076,82.727,118.7835838,32.03662954,Polygon,"{""type"":""Polygon"",""coordinates"":[[[281.4,350.56],[394.96,350.56],[394.96,399.84],[281.4,399.84],[281.4,350.56]]]}"
park_building_footprint,BLD_I_001,西南罐组一,I,pa-west-south,西南储罐与泵区,tank,1,2,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,318.14,492.92,-1121.584,-166.886,118.78337143,32.03557204,Polygon,"{""type"":""Polygon"",""coordinates"":[[[274.72,459.04],[361.56,459.04],[361.56,526.8],[274.72,526.8],[274.72,459.04]]]}"
park_building_footprint,BLD_I_002,西南泵区,I,pa-west-south,西南储罐与泵区,pump,1,4,low,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,428.36,494.13,-953.787,-169.451,118.78453947,32.03556117,Polygon,"{""type"":""Polygon"",""coordinates"":[[[381.6,466.3],[475.12,466.3],[475.12,521.96],[381.6,521.96],[381.6,466.3]]]}"
park_building_footprint,BLD_I_003,西南辅助厂房,I,pa-west-south,西南储罐与泵区,utility,0,8,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,361.56,604.24,-1055.482,-402.928,118.78383157,32.03457204,Polygon,"{""type"":""Polygon"",""coordinates"":[[[294.76,570.36],[428.36,570.36],[428.36,638.12],[294.76,638.12],[294.76,570.36]]]}"
park_building_footprint,BLD_B_001,西中长条生产厂房,B,pa-center-north,中北厂房装置区,production,1,36,high,confirmed,s3m_oblique_manual_interpretation_draft,building_footprint_draft,false,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,672,299.52,-582.872,243.199,118.7871214,32.03730938,Polygon,"{""type"":""Polygon"",""coordinates"":[[[604.8,273.12],[739.2,273.12],[739.2,325.92],[604.8,325.92],[604.8,273.12]]]}"
park_building_footprint,BLD_B_002,西中装置区,B,pa-center-north,中北厂房装置区,production,1,10,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,668.64,376.96,-587.988,78.996,118.78708579,32.03661373,Polygon,"{""type"":""Polygon"",""coordinates"":[[[611.52,350.56],[725.76,350.56],[725.76,403.36],[611.52,403.36],[611.52,350.56]]]}"
park_building_footprint,BLD_D_001,中南蓝顶厂房,D,pa-center-south,中南反应装置区,production,1,24,high,confirmed,s3m_oblique_manual_interpretation_draft,building_footprint_draft,false,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,668.64,488.08,-587.988,-156.623,118.78708579,32.03561552,Polygon,"{""type"":""Polygon"",""coordinates"":[[[601.44,459.04],[735.84,459.04],[735.84,517.12],[601.44,517.12],[601.44,459.04]]]}"
park_building_footprint,BLD_D_002,中南罐组,D,pa-center-south,中南反应装置区,tank,1,4,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,636.72,587.3,-636.582,-367.009,118.78674752,32.03472422,Polygon,"{""type"":""Polygon"",""coordinates"":[[[608.16,551],[665.28,551],[665.28,623.6],[608.16,623.6],[608.16,551]]]}"
park_building_footprint,BLD_D_003,中南装置框架,D,pa-center-south,中南反应装置区,production,1,6,low,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,707.28,589.72,-529.163,-372.14,118.78749527,32.03470248,Polygon,"{""type"":""Polygon"",""coordinates"":[[[678.72,551],[735.84,551],[735.84,628.44],[678.72,628.44],[678.72,551]]]}"
park_building_footprint,BLD_C_001,中央主厂房,C,ut-center,公用工程与管廊区,production,1,28,high,confirmed,s3m_oblique_manual_interpretation_draft,building_footprint_draft,false,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,802.24,365.4,-384.597,103.507,118.78850159,32.03671757,Polygon,"{""type"":""Polygon"",""coordinates"":[[[767.04,327.6],[837.44,327.6],[837.44,403.2],[767.04,403.2],[767.04,327.6]]]}"
park_building_footprint,BLD_C_002,中央塔器区,C,ut-center,公用工程与管廊区,tower,1,4,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,802.24,478.8,-384.597,-136.946,118.78850159,32.03569889,Polygon,"{""type"":""Polygon"",""coordinates"":[[[777.6,436.8],[826.88,436.8],[826.88,520.8],[777.6,520.8],[777.6,436.8]]]}"
park_building_footprint,BLD_C_003,中央公用工程区,C,ut-center,公用工程与管廊区,utility,0,6,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,804,592.2,-381.917,-377.399,118.78852024,32.0346802,Polygon,"{""type"":""Polygon"",""coordinates"":[[[775.84,554.4],[832.16,554.4],[832.16,630],[775.84,630],[775.84,554.4]]]}"
park_building_footprint,BLD_E_001,中东装置框架区,E,tw-center,中东塔器与罐组区,production,1,14,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,901,336,-234.246,165.847,118.78954818,32.03698167,Polygon,"{""type"":""Polygon"",""coordinates"":[[[865,294],[937,294],[937,378],[865,378],[865,294]]]}"
